indonesia,osing
ibu memukul buku ke pasar,mak nyampat buku nyang pasar
bapak memasak kunci dari rumah,bapak ngolah kunci teko umah
dia mengambil kunci dari pasar,yane njuwut kunci teko pasar
anak memukul pisau,lare nyampat lading
mereka melihat anak dari dapur,wong-wong ndeleng lare teko pawon
dia melihat kunci,yane ndeleng kunci
anak melihat pisau di sungai,lare ndeleng lading nong kali
saya menyimpan pisau di rumah,isun nyimpen lading nong umah
ibu memanggil sayur ke bukit,mak ngundang jangan nyang puthuk
bapak menyapu pisau ke rumah,bapak nyapu lading nyang umah
saya mengambil kunci di rumah,isun njuwut kunci nong umah
saya memukul anak di bukit,isun nyampat lare nong puthuk
anak melihat sayur ke bukit,lare ndeleng jangan nyang puthuk
anak melihat bunga di pasar,lare ndeleng kembang nong pasar
anak mengambil bunga dari rumah,lare njuwut kembang teko umah
saya melihat nasi dari rumah,isun ndeleng sego teko umah
anak mencium buku ke rumah,lare ngambung buku nyang umah
anak melihat sayur dari dapur,lare ndeleng jangan teko pawon
nenek memasak nasi dari pasar,embyah ngolah sego teko pasar
nenek memanggil pisang dari sungai,embyah ngundang gedhang teko kali
bapak memukul kunci ke pasar,bapak nyampat kunci nyang pasar
bapak mengambil sayur ke dapur,bapak njuwut jangan nyang pawon
saya mengambil pisau di dapur,isun njuwut lading nong pawon
nenek menyapu pisang dari bukit,embyah nyapu gedhang teko puthuk
bapak mengambil air di sungai,bapak njuwut byanyu nong kali
anak memukul pisau,lare nyampat lading
aku memasak buku ke sungai,isun ngolah buku nyang kali
bapak mengambil pisang ke dapur,bapak njuwut gedhang nyang pawon
saya mengambil kunci,isun njuwut kunci
mereka menyapu nasi dari pasar,wong-wong nyapu sego teko pasar
anak membawa air ke rumah,lare nggowo byanyu nyang umah
kamu melihat kunci,riko ndeleng kunci
ibu menyapu air di pasar,mak nyapu byanyu nong pasar
anak memanggil nasi dari pasar,lare ngundang sego teko pasar
ibu memanggil air,mak ngundang byanyu
kamu memanggil buku di rumah,riko ngundang buku nong umah
saya memasak nasi di rumah,isun ngolah sego nong umah
saya mencium buku dari dapur,isun ngambung buku teko pawon
ibu memukul pisau,mak nyampat lading
aku memasak sayur di bukit,isun ngolah jangan nong puthuk
aku mengambil anak di dapur,isun njuwut lare nong pawon
ibu memasak buku di dapur,mak ngolah buku nong pawon
nenek memanggil pisau di pasar,embyah ngundang lading nong pasar
bapak memasak kunci ke dapur,bapak ngolah kunci nyang pawon
saya membawa pisang,isun nggowo gedhang
dia menyimpan anak dari bukit,yane nyimpen lare teko puthuk
saya memanggil pisang di bukit,isun ngundang gedhang nong puthuk
saya menyapu pisang ke pasar,isun nyapu gedhang nyang pasar
anak melihat buku di pasar,lare ndeleng buku nong pasar
dia memukul nasi di bukit,yane nyampat sego nong puthuk
mereka memukul sayur di dapur,wong-wong nyampat jangan nong pawon
mereka mencium pisang ke pasar,wong-wong ngambung gedhang nyang pasar
dia memanggil air ke bukit,yane ngundang byanyu nyang puthuk
nenek melihat kunci di pasar,embyah ndeleng kunci nong pasar
anak membawa air di dapur,lare nggowo byanyu nong pawon
aku memasak buku,isun ngolah buku
aku memasak nasi ke bukit,isun ngolah sego nyang puthuk
bapak melihat bunga dari sungai,bapak ndeleng kembang teko kali
dia mencium buku di rumah,yane ngambung buku nong umah
mereka memasak sayur dari bukit,wong-wong ngolah jangan teko puthuk
aku memasak bunga ke dapur,isun ngolah kembang nyang pawon
ibu membawa pisau dari bukit,mak nggowo lading teko puthuk
mereka menyapu anak ke sungai,wong-wong nyapu lare nyang kali
mereka menyapu bunga ke pasar,wong-wong nyapu kembang nyang pasar
kamu menyapu buku dari sungai,riko nyapu buku teko kali
bapak memanggil pisang dari pasar,bapak ngundang gedhang teko pasar
anak mencium sayur dari bukit,lare ngambung jangan teko puthuk
nenek membawa air dari sungai,embyah nggowo byanyu teko kali
bapak mengambil buku di bukit,bapak njuwut buku nong puthuk
dia memanggil pisau di dapur,yane ngundang lading nong pawon
bapak memasak pisau,bapak ngolah lading
saya membawa bunga dari bukit,isun nggowo kembang teko puthuk
ibu menyimpan pisang ke bukit,mak nyimpen gedhang nyang puthuk
kamu memanggil nasi di dapur,riko ngundang sego nong pawon
aku melihat sayur ke rumah,isun ndeleng jangan nyang umah
saya memasak air,isun ngolah byanyu
anak mengambil buku di dapur,lare njuwut buku nong pawon
nenek mengambil pisau di bukit,embyah njuwut lading nong puthuk
mereka memasak pisau di dapur,wong-wong ngolah lading nong pawon
ibu mengambil pisau,mak njuwut lading
aku mengambil sayur,isun njuwut jangan
dia memasak pisang ke pasar,yane ngolah gedhang nyang pasar
anak memasak nasi,lare ngolah sego
kamu menyimpan nasi dari dapur,riko nyimpen sego teko pawon
bapak mencium pisau dari dapur,bapak ngambung lading teko pawon
ibu memasak air ke sungai,mak ngolah byanyu nyang kali
anak memukul anak ke sungai,lare nyampat lare nyang kali
ibu menyapu buku dari bukit,mak nyapu buku teko puthuk
nenek mengambil anak di dapur,embyah njuwut lare nong pawon
kamu memanggil kunci ke sungai,riko ngundang kunci nyang kali
mereka mengambil pisang dari bukit,wong-wong njuwut gedhang teko puthuk
bapak melihat nasi di bukit,bapak ndeleng sego nong puthuk
dia membawa bunga di bukit,yane nggowo kembang nong puthuk
dia melihat pisau dari sungai,yane ndeleng lading teko kali
ibu membawa pisang,mak nggowo gedhang
dia memasak sayur ke bukit,yane ngolah jangan nyang puthuk
anak melihat kunci di dapur,lare ndeleng kunci nong pawon
aku memukul kunci di pasar,isun nyampat kunci nong pasar
dia mengambil bunga dari bukit,yane njuwut kembang teko puthuk
bapak memasak sayur di rumah,bapak ngolah jangan nong umah
ibu mencium bunga ke rumah,mak ngambung kembang nyang umah
ibu memukul pisau,mak nyampat lading
nenek mengambil pisang dari dapur,embyah njuwut gedhang teko pawon
aku memanggil air dari dapur,isun ngundang byanyu teko pawon
mereka memanggil sayur di pasar,wong-wong ngundang jangan nong pasar
aku memukul pisang dari rumah,isun nyampat gedhang teko umah
saya membawa anak dari bukit,isun nggowo lare teko puthuk
saya melihat pisau ke rumah,isun ndeleng lading nyang umah
aku memanggil pisang ke dapur,isun ngundang gedhang nyang pawon
kamu mencium buku ke rumah,riko ngambung buku nyang umah
mereka mengambil nasi,wong-wong njuwut sego
anak mencium kunci di rumah,lare ngambung kunci nong umah
dia menyapu kunci ke bukit,yane nyapu kunci nyang puthuk
anak membawa kunci dari bukit,lare nggowo kunci teko puthuk
nenek mencium anak dari rumah,embyah ngambung lare teko umah
mereka menyapu nasi ke dapur,wong-wong nyapu sego nyang pawon
dia mencium air dari dapur,yane ngambung byanyu teko pawon
dia melihat bunga ke sungai,yane ndeleng kembang nyang kali
nenek mengambil buku ke dapur,embyah njuwut buku nyang pawon
bapak mengambil bunga ke bukit,bapak njuwut kembang nyang puthuk
dia mencium sayur ke sungai,yane ngambung jangan nyang kali
aku membawa pisang,isun nggowo gedhang
bapak menyapu nasi dari dapur,bapak nyapu sego teko pawon
anak mengambil kunci ke pasar,lare njuwut kunci nyang pasar
bapak mengambil pisang dari bukit,bapak njuwut gedhang teko puthuk
kamu menyapu kunci ke sungai,riko nyapu kunci nyang kali
mereka memukul pisau di sungai,wong-wong nyampat lading nong kali
anak melihat nasi,lare ndeleng sego
mereka melihat pisau ke bukit,wong-wong ndeleng lading nyang puthuk
bapak memanggil air ke dapur,bapak ngundang byanyu nyang pawon
saya menyimpan sayur ke bukit,isun nyimpen jangan nyang puthuk
bapak mengambil nasi ke rumah,bapak njuwut sego nyang umah
ibu melihat pisang di dapur,mak ndeleng gedhang nong pawon
dia memukul bunga di rumah,yane nyampat kembang nong umah
bapak mengambil nasi,bapak njuwut sego
dia memanggil buku dari dapur,yane ngundang buku teko pawon
dia mencium pisang,yane ngambung gedhang
anak mengambil kunci di bukit,lare njuwut kunci nong puthuk
nenek memasak kunci,embyah ngolah kunci
mereka memukul nasi,wong-wong nyampat sego
aku menyapu sayur di sungai,isun nyapu jangan nong kali
ibu melihat kunci,mak ndeleng kunci
ibu mencium sayur,mak ngambung jangan
mereka melihat bunga di sungai,wong-wong ndeleng kembang nong kali
ibu mengambil bunga dari dapur,mak njuwut kembang teko pawon
dia memasak air dari dapur,yane ngolah byanyu teko pawon
mereka membawa pisang ke bukit,wong-wong nggowo gedhang nyang puthuk
ibu mencium pisau dari sungai,mak ngambung lading teko kali
saya mengambil anak di bukit,isun njuwut lare nong puthuk
aku melihat anak dari pasar,isun ndeleng lare teko pasar
kamu menyimpan buku ke sungai,riko nyimpen buku nyang kali
dia menyapu bunga dari sungai,yane nyapu kembang teko kali
aku melihat pisang di pasar,isun ndeleng gedhang nong pasar
nenek membawa kunci dari rumah,embyah nggowo kunci teko umah
ibu memanggil air dari dapur,mak ngundang byanyu teko pawon
kamu memanggil air di rumah,riko ngundang byanyu nong umah
anak memukul sayur di rumah,lare nyampat jangan nong umah
nenek mencium pisau ke sungai,embyah ngambung lading nyang kali
anak melihat air di bukit,lare ndeleng byanyu nong puthuk
anak memasak nasi,lare ngolah sego
anak menyimpan buku,lare nyimpen buku
bapak mengambil kunci di rumah,bapak njuwut kunci nong umah
anak menyimpan air ke rumah,lare nyimpen byanyu nyang umah
dia memasak pisau dari dapur,yane ngolah lading teko pawon
nenek memanggil anak di rumah,embyah ngundang lare nong umah
anak mencium nasi di dapur,lare ngambung sego nong pawon
saya mencium kunci dari rumah,isun ngambung kunci teko umah
kamu mencium sayur dari dapur,riko ngambung jangan teko pawon
saya mencium anak dari dapur,isun ngambung lare teko pawon
aku memukul pisau dari dapur,isun nyampat lading teko pawon
ibu memanggil pisau ke rumah,mak ngundang lading nyang umah
bapak melihat pisang di sungai,bapak ndeleng gedhang nong kali
saya mengambil bunga dari sungai,isun njuwut kembang teko kali
mereka memanggil anak dari bukit,wong-wong ngundang lare teko puthuk
dia memanggil pisang dari sungai,yane ngundang gedhang teko kali
mereka menyimpan kunci,wong-wong nyimpen kunci
mereka mengambil nasi,wong-wong njuwut sego
mereka mencium bunga,wong-wong ngambung kembang
bapak melihat nasi,bapak ndeleng sego
ibu membawa air ke rumah,mak nggowo byanyu nyang umah
bapak menyimpan pisang,bapak nyimpen gedhang
saya memukul bunga,isun nyampat kembang
kamu mencium pisang ke pasar,riko ngambung gedhang nyang pasar
kamu memasak kunci dari rumah,riko ngolah kunci teko umah
saya menyapu nasi,isun nyapu sego
aku memukul kunci,isun nyampat kunci
dia memasak nasi,yane ngolah sego
kamu melihat bunga ke pasar,riko ndeleng kembang nyang pasar
bapak mencium anak dari dapur,bapak ngambung lare teko pawon
dia mengambil sayur,yane njuwut jangan
mereka menyimpan pisang,wong-wong nyimpen gedhang
anak mencium pisau dari rumah,lare ngambung lading teko umah
saya melihat air,isun ndeleng byanyu
bapak membawa pisau dari bukit,bapak nggowo lading teko puthuk
nenek memasak anak dari bukit,embyah ngolah lare teko puthuk
kamu memasak sayur,riko ngolah jangan
kamu mengambil sayur dari sungai,riko njuwut jangan teko kali
nenek memukul anak,embyah nyampat lare
saya membawa buku ke sungai,isun nggowo buku nyang kali
kamu melihat pisau di bukit,riko ndeleng lading nong puthuk
dia memanggil sayur dari pasar,yane ngundang jangan teko pasar
saya menyimpan anak dari pasar,isun nyimpen lare teko pasar
bapak memasak buku dari sungai,bapak ngolah buku teko kali
dia melihat buku,yane ndeleng buku
anak membawa anak di bukit,lare nggowo lare nong puthuk
anak membawa air,lare nggowo byanyu
ibu mencium nasi ke rumah,mak ngambung sego nyang umah
ibu memanggil buku dari pasar,mak ngundang buku teko pasar
kamu memasak pisau ke rumah,riko ngolah lading nyang umah
anak mencium sayur di bukit,lare ngambung jangan nong puthuk
aku memukul air di pasar,isun nyampat byanyu nong pasar
nenek menyapu sayur ke rumah,embyah nyapu jangan nyang umah
mereka mencium air ke bukit,wong-wong ngambung byanyu nyang puthuk
aku memasak pisau,isun ngolah lading
aku memasak pisang dari rumah,isun ngolah gedhang teko umah
bapak memasak pisau di rumah,bapak ngolah lading nong umah
bapak menyapu buku di dapur,bapak nyapu buku nong pawon
bapak membawa nasi di dapur,bapak nggowo sego nong pawon
nenek memanggil kunci di sungai,embyah ngundang kunci nong kali
anak memukul pisang di rumah,lare nyampat gedhang nong umah
mereka memasak air dari pasar,wong-wong ngolah byanyu teko pasar
nenek menyapu kunci di bukit,embyah nyapu kunci nong puthuk
mereka melihat nasi dari pasar,wong-wong ndeleng sego teko pasar
mereka melihat pisau dari dapur,wong-wong ndeleng lading teko pawon
aku mencium buku di sungai,isun ngambung buku nong kali
bapak menyimpan air ke rumah,bapak nyimpen byanyu nyang umah
aku memanggil sayur di rumah,isun ngundang jangan nong umah
nenek menyapu pisau ke pasar,embyah nyapu lading nyang pasar
nenek mencium anak,embyah ngambung lare
anak menyimpan buku di sungai,lare nyimpen buku nong kali
dia mencium air dari bukit,yane ngambung byanyu teko puthuk
anak mencium sayur di bukit,lare ngambung jangan nong puthuk
ibu memasak pisang dari rumah,mak ngolah gedhang teko umah
dia mencium buku ke pasar,yane ngambung buku nyang pasar
ibu memukul buku di pasar,mak nyampat buku nong pasar
anak membawa air ke dapur,lare nggowo byanyu nyang pawon
mereka memasak pisau ke rumah,wong-wong ngolah lading nyang umah
dia memukul anak,yane nyampat lare
nenek memanggil buku di dapur,embyah ngundang buku nong pawon
saya memukul pisang ke pasar,isun nyampat gedhang nyang pasar
aku menyapu pisang di pasar,isun nyapu gedhang nong pasar
kamu mengambil kunci dari pasar,riko njuwut kunci teko pasar
dia memasak pisau ke rumah,yane ngolah lading nyang umah
saya menyapu pisang,isun nyapu gedhang
aku mencium pisau di dapur,isun ngambung lading nong pawon
aku melihat pisau di dapur,isun ndeleng lading nong pawon
bapak menyapu sayur dari bukit,bapak nyapu jangan teko puthuk
kamu melihat pisau,riko ndeleng lading
anak menyimpan kunci dari rumah,lare nyimpen kunci teko umah
mereka memasak kunci di dapur,wong-wong ngolah kunci nong pawon
ibu melihat anak di sungai,mak ndeleng lare nong kali
bapak memasak sayur di pasar,bapak ngolah jangan nong pasar
ibu memanggil pisau ke sungai,mak ngundang lading nyang kali
saya mengambil anak ke sungai,isun njuwut lare nyang kali
saya mengambil kunci ke bukit,isun njuwut kunci nyang puthuk
ibu melihat pisang di bukit,mak ndeleng gedhang nong puthuk
aku memanggil nasi di bukit,isun ngundang sego nong puthuk
kamu menyimpan pisau,riko nyimpen lading
kamu memasak kunci di pasar,riko ngolah kunci nong pasar
bapak memukul pisau,bapak nyampat lading
aku menyimpan anak ke bukit,isun nyimpen lare nyang puthuk
kamu memasak sayur,riko ngolah jangan
bapak membawa buku ke dapur,bapak nggowo buku nyang pawon
mereka memanggil anak ke rumah,wong-wong ngundang lare nyang umah
ibu mencium kunci di pasar,mak ngambung kunci nong pasar
ibu memasak buku ke pasar,mak ngolah buku nyang pasar
dia membawa air ke bukit,yane nggowo byanyu nyang puthuk
saya memukul anak,isun nyampat lare
dia melihat sayur ke bukit,yane ndeleng jangan nyang puthuk
nenek menyapu pisau dari pasar,embyah nyapu lading teko pasar
saya melihat pisang ke rumah,isun ndeleng gedhang nyang umah
kamu menyimpan pisau ke pasar,riko nyimpen lading nyang pasar
mereka mengambil pisau,wong-wong njuwut lading
ibu mencium bunga di dapur,mak ngambung kembang nong pawon
ibu melihat kunci ke dapur,mak ndeleng kunci nyang pawon
nenek menyimpan air di rumah,embyah nyimpen byanyu nong umah
mereka mencium bunga di rumah,wong-wong ngambung kembang nong umah
mereka memukul nasi ke pasar,wong-wong nyampat sego nyang pasar
anak mengambil nasi dari bukit,lare njuwut sego teko puthuk
aku menyapu pisau,isun nyapu lading
ibu menyapu kunci di pasar,mak nyapu kunci nong pasar
kamu menyimpan sayur,riko nyimpen jangan
ibu memanggil buku di rumah,mak ngundang buku nong umah
ibu membawa pisau di bukit,mak nggowo lading nong puthuk
bapak mengambil pisang di pasar,bapak njuwut gedhang nong pasar
bapak melihat pisau ke rumah,bapak ndeleng lading nyang umah
ibu mencium bunga ke bukit,mak ngambung kembang nyang puthuk
nenek mencium buku di sungai,embyah ngambung buku nong kali
bapak menyimpan pisang ke pasar,bapak nyimpen gedhang nyang pasar
dia mencium pisang ke sungai,yane ngambung gedhang nyang kali
ibu menyapu pisang,mak nyapu gedhang
ibu mengambil nasi,mak njuwut sego
saya memukul buku dari pasar,isun nyampat buku teko pasar
dia membawa pisang ke rumah,yane nggowo gedhang nyang umah
nenek memasak pisang,embyah ngolah gedhang
saya menyapu kunci dari rumah,isun nyapu kunci teko umah
bapak melihat bunga,bapak ndeleng kembang
aku memukul nasi ke rumah,isun nyampat sego nyang umah
dia memasak air,yane ngolah byanyu
bapak memanggil bunga di pasar,bapak ngundang kembang nong pasar
dia menyapu kunci di sungai,yane nyapu kunci nong kali
aku menyimpan buku ke pasar,isun nyimpen buku nyang pasar
saya menyimpan pisau ke sungai,isun nyimpen lading nyang kali
saya memasak nasi dari bukit,isun ngolah sego teko puthuk
ibu membawa pisang,mak nggowo gedhang
dia menyapu kunci ke bukit,yane nyapu kunci nyang puthuk
